管理No.,島CODE,島名,オアフ地区CODE,オアフ地区名,index,部屋CODE,部屋名,部屋タイプ,宿泊人数,最低宿泊数,1泊の金額,紹介文,料金について,description,keywords
hawaii_02,hawaii,ハワイ島,,コナ地区,02,Kona_Bay,コナベイ ブリス,4ベッドルーム、4バスルーム,最大10名,最低7泊,"188,000円～",ハワイ島カイルアコナのビーチフロントに有る隠れ家的な2階建ての邸宅です。 ラナイ/バルコニーからの海の景色は癒しの空間。 ハワイ王朝キングカメハメハの聖地のコナ。 日本航空、ハワイアン航空がコナ直行便が毎日運航しています。キラウエア火山、マウナケア天文台星空観賞のツアーがお勧め。,,コナベイブリスはハワイ島カイルアコナのビーチフロントに有る隠れ家的な2階建ての邸宅,"邸宅,高級,貸別荘,ハワイ島,コナベイブリス"
hawaii_03,hawaii,ハワイ島,,カラオカ地区,03,Ohma,オーマ プランテーション,7ベッドルーム、7バスルーム,最大22名,最低7泊,"188,000円～",空港から車で15分のカラオカ地区の中腹にある2階建ての邸宅。朝日、夕日、星空の景色は最高です。 12月～3月の期間、運が良ければホエールウォッチングがお楽しみいただけます。 最大22名様までご利用可能なので、フラダンスの研修や各種合宿などにお勧めの邸宅です。 詳しくは担当者までご相談下さい。,,オーマプランテーションは空港から車で15分のカラオカ地区の中腹にある2階建ての邸宅,"邸宅,高級,貸別荘,ハワイ島,オーマプランテーション"
hawaii_04,hawaii,ハワイ島,,カイルアコナ地区,04,Hale_Glace,ハレ グレイス アロハ,5ベッドルーム、4.5バスルーム,最大13名,最低7泊,"133,000円～",カイルアコナから車で5分のアリカイビーチに面して立つフラットタイプの邸宅です。 ホット タブ、プライベートプールもあり、広い芝生の庭、ラナイバルコニーからの海の眺めもお勧め。 最大13名様が宿泊できますので、3～4家族での宿泊も可能。 日本空、ハワイアン航空がコナ直行便が毎日運航しています。 キラウエア火山、マウナケア天文台星空観賞のツアーがお勧め、担当者にご相談下さい。,,ハレグレイスアロハはカイルアコナから車で5分のアリカイビーチに面して立つフラットタイプの邸宅,"邸宅,高級,貸別荘,ハワイ島,ハレグレイス"
maui_01,maui,マウイ島,,カアナパリ地区,01,Sea_Shells,シーシェルズ ビーチハウス,3ベッドルーム・3.5バスルーム,最大6名,最低6泊,"388,000円～",カアナパリビーチのオーシャンフロントに建つ邸宅。 広々としたヤシの木に囲まれた熱帯植物園を思わせる庭、プライベートプール、リビングルーム、ダイニングから眺めるカナパリビーチの海。 ラッセンの絵のような風景。 12月～3月はホエールウオッチングが楽しめるシーズンです。 マウイ島カフルイ空港はプライベートジェットの発着も可能ですので、プライベートジェット、専用車、シェフなどの手配もハワイアンスカイで承ります。 お気軽にご相談下さい。,,シーシェルズビーチハウスはカアナパリビーチのオーシャンフロントに建つ邸宅,"邸宅,高級,貸別荘,マウイ島,シーシェルズ,ビーチハウス"
maui_02,maui,マウイ島,,キヘイ地区,02,Mango_Surf,マンゴサーフビーチフロントヴィラ,3ベッドルーム・2.5バスルーム,最大6名,最低6泊,"288,000円～",キヘイのマンゴサーフビーチに建つオーシャンフロントの温水プール付きのヴィラです。 目の前がキヘイの海、そのまま水着でビーチまで10秒のオーシャンフロントアクセス。 プールサイドにあるカクテルカウンターでハワイアンカクテルがお楽しみいただけます。 リゾートホテル以上の施設(温水プール、リビングルーム、ベッドルームなど) 航空券、プライベートジェット、専用車、滞在中のシェフの手配も承ります。,,マンゴサーフビーチフロントヴィラはキヘイのマンゴサーフビーチに建つオーシャンフロントの温水プール付きのヴィラ,"邸宅,高級,貸別荘,マウイ島,マンゴサーフビーチフロント"
maui_03,maui,マウイ島,,カアナパリ地区,03,Hawaiiana,ハワイアナ ハレ,4ベッドルーム・5バスルーム,最大8名,最低7泊,"630,000円～",カアナパリビーチのオーシャンフロントに建つ豪華でエレガントな邸宅です。 カアナパリビーチの黄金の砂浜から穏やかな海、ラナイ島とモロカイ島まで、パノラマの景色を一望できます。 温水プール、ホット タブ、フィットネスルームなど設備も充実しています。 ,,ハワイアナハレはカアナパリビーチのオーシャンフロントに建つ豪華でエレガントな邸宅,"邸宅,高級,貸別荘,マウイ島,ハワイアナハレ"
maui_04,maui,マウイ島,,キヘイ地区,04,Sapphire,サファイアシーズビーチ エステート,4ベッドルーム・4.5バスルーム,最大名8名,最低6泊,"530,000円～",キヘイの静かな住宅街のオーシャンフロントに建ち、最新セキュリティシステムを備えた邸宅です。 2階のベッドルームから続くラナイ・バルコニーからの太平洋の景色はここに宿泊した人だけの特権。マウイ・ヌイ・ゴルフクラブやスーパーマーケットも近く、便利なロケーションです。,,サファイアシーズビーチエステートはキヘイの静かな住宅街のオーシャンフロントに建ち、最新セキュリティシステムを備えた邸宅,"邸宅,高級,貸別荘,マウイ島,サファイアシーズビーチ"
kauai_01,kauai,カウアイ島,,ポイプ地区,01,Poipu,ポイプ クレーター,2ベッドルーム・2.バスルーム,最大4名,最低4泊,"45,000円～",カウアイ島のポイプビーチの近くに建つヴィラ。 徒歩で行けるレストラン、受賞歴があるスパ、ショッピング、ホエールウオッチング、シュノーケリング、サーフィン、ゴルフ(ポイプ ベイ ゴルフクラブ、キアフナ ゴルフクラブ)など盛りだくさんのアクティビティが楽しめます。,,ポイプクレーターはカウアイ島のポイプビーチの近くに建つヴィラ,"邸宅,高級,貸別荘,カウアイ島,ポイプクレーター"
kauai_02,kauai,カウアイ島,,ポイプ地区,02,Kiahuna,キアフナ プランテーション ハレ,3ベッド・3・5バスルーム,最大6名,最低4泊,"80,000円～",ポイプ地区のキアフナ ゴルフクラブの4番フェアウェイに隣接したコース内に建ち、 木製の床、高い天井、クオーツのカウンターなど木の香りが漂う落ち着いたイヴィラです。 設備の整ったキッチンにはバー席もあり、広々したリビング・ダイニングスペースは小グループに最適です。 また、フィットネススタジオ、スイミングプール、テニスコートなどスポーツ施設も充実しています。 ラナイ・バルコニーからのフェアウェイの景色にも癒されます。世界的に有名なポイプビーチへの1マイル(1.6km)の距離です。,,キアフナプランテーションハレはポイプ地区のキアフナ ゴルフクラブの4番フェアウェイに隣接したコース内に建ち、木の香りが漂う落ち着いたイヴィラ,"邸宅,高級,貸別荘,カウアイ島,キアフナプランテーション"
kauai_03,kauai,カウアイ島,,ワイルア地区,03,Aloha_Kai,アロハ カイ ユニット307,2ベッドルーム・2バスルーム,最大4名,最低4泊,"43,000円～",リフェ空港から車で15分、ココナツコーストのオーシャンフロントに建つヴィラタイプのコテージです。 2階のラナイ・バルコニーからの海の眺めは最高。 11月から5月はザトウクジラも見れるかも、、。 朝日や夕日の海と地平線の眺めを是非味わって下さい。 カウアイ島のお勧めのコテージです。,,アロハカイユニット307はリフェ空港から車で15分、ココナツコーストのオーシャンフロントに建つヴィラタイプのコテージ,"邸宅,高級,貸別荘,カウアイ島,アロハカイ"
